"","year","1","2","3","4","5","6","7","8","9","10","source"
"1",1,0.01228,0.08891,0.26765,0.43534,0.57495,0.6758,0.722,0.78491,0.85663,1.00997,"fishery"
"2",2,0.01228,0.08891,0.26765,0.43534,0.57495,0.6758,0.722,0.78491,0.85663,1.00997,"fishery"
"3",3,0.01228,0.08891,0.26765,0.43534,0.57495,0.6758,0.722,0.78491,0.85663,1.00997,"fishery"
"4",4,0.01228,0.08891,0.26765,0.43534,0.57495,0.6758,0.722,0.78491,0.85663,1.00997,"fishery"
"5",5,0.01228,0.08891,0.26765,0.43534,0.57495,0.6758,0.722,0.78491,0.85663,1.00997,"fishery"
"6",6,0.01228,0.08891,0.26765,0.43534,0.57495,0.6758,0.722,0.78491,0.85663,1.00997,"fishery"
"7",7,0.01228,0.08891,0.26765,0.43534,0.57495,0.6758,0.722,0.78491,0.85663,1.00997,"fishery"
"8",8,0.01228,0.08891,0.26765,0.43534,0.57495,0.6758,0.722,0.78491,0.85663,1.00997,"fishery"
"9",9,0.01228,0.08891,0.26765,0.43534,0.57495,0.6758,0.722,0.78491,0.85663,1.00997,"fishery"
"10",10,0.01228,0.08891,0.26765,0.43534,0.57495,0.6758,0.722,0.78491,0.85663,1.00997,"fishery"
"11",11,0.01228,0.08891,0.26765,0.43534,0.57495,0.6758,0.722,0.78491,0.85663,1.00997,"fishery"
"12",12,0.01661,0.08871,0.22621,0.33182,0.38338,0.47182,0.63477,0.7194,0.85659,0.76384,"fishery"
"13",13,0.01491,0.08398,0.26708,0.36987,0.46917,0.56168,0.59494,0.71826,0.81054,0.91071,"fishery"
"14",14,0.01321,0.07925,0.30794,0.40791,0.55497,0.65154,0.55511,0.71711,0.76448,1.05758,"fishery"
"15",15,0.01228,0.11157,0.25649,0.55112,0.58732,0.69171,0.73572,0.71974,0.87805,1.00567,"fishery"
"16",16,0.01166,0.09908,0.33143,0.50504,0.60122,0.7289,0.80314,0.82796,0.81772,1.15655,"fishery"
"17",17,0.00767,0.06594,0.21618,0.38081,0.74787,0.835,0.88123,0.94036,0.9663,1.06622,"fishery"
"18",18,0.00868,0.06731,0.20137,0.3321,0.57521,0.68656,0.93889,1.02929,1.0488,1.1738,"fishery"
"19",19,0.00969,0.06867,0.18655,0.2834,0.40255,0.53812,0.99654,1.11823,1.1313,1.28138,"fishery"
"20",20,0.01072,0.09165,0.23036,0.39687,0.44678,0.62327,0.88497,1.03332,1.13066,1.22093,"fishery"
"21",21,0.00849,0.05496,0.20389,0.35611,0.53012,0.665,0.77663,1.08748,1.08735,1.36364,"fishery"
"22",22,0.01087,0.07163,0.15459,0.2683,0.50968,0.77898,0.91065,0.96917,1.21087,1.52146,"fishery"
"23",23,0.01111,0.08552,0.21112,0.32062,0.39247,0.81141,1.08653,1.13213,1.10638,1.30415,"fishery"
"24",24,0.00994,0.08207,0.30365,0.46877,0.58331,0.71423,1.05382,1.19688,1.18897,1.3321,"fishery"
"25",25,0.01021,0.09044,0.28412,0.63893,0.81734,0.89927,1.12006,1.23833,1.44374,1.43135,"fishery"
"26",26,0.01068,0.09055,0.29507,0.52575,0.80388,0.89837,0.94937,1.03431,1.14725,1.35181,"fishery"
"27",27,0.01051,0.05455,0.20564,0.46853,0.92334,1.03075,1.05241,1.11489,1.21724,1.37353,"fishery"
"28",28,0.01043,0.07938,0.15668,0.3472,0.7162,1.19998,1.17919,1.23074,1.2791,1.42437,"fishery"
"29",29,0.01111,0.08889,0.22456,0.3217,0.3859,0.86358,1.2171,1.29486,1.28245,1.36249,"fishery"
"30",30,0.01194,0.08646,0.25179,0.44568,0.59805,0.83735,1.11351,1.30671,1.38605,1.45672,"fishery"
"31",31,0.01278,0.08404,0.27903,0.56966,0.81019,0.81113,1.00993,1.31857,1.48964,1.55095,"fishery"
"32",32,0.0086,0.05222,0.17153,0.41588,0.64114,1.06056,1.16614,1.37907,1.3393,1.7392,"fishery"
"33",33,0.01245,0.08219,0.14817,0.30048,0.7144,0.98383,1.1899,1.24075,1.53488,1.76526,"fishery"
"34",34,0.01223,0.09093,0.20683,0.2771,0.43626,0.90571,1.21955,1.28033,1.72216,1.58394,"fishery"
"35",35,0.01006,0.08455,0.24632,0.48618,0.50203,0.74942,1.34079,1.33798,1.44626,1.31125,"fishery"
"36",36,0.01112,0.08373,0.30541,0.54767,0.76676,0.73411,0.79848,1.16854,1.20477,1.837,"fishery"
"37",37,0.00914,0.06567,0.26236,0.42914,0.82771,1.12364,1.16323,1.3266,1.49293,1.88435,"fishery"
"38",38,0.01083,0.06309,0.22243,0.44624,0.84114,1.24842,1.37792,1.43911,1.7893,1.89605,"fishery"
"39",39,0.01401,0.09854,0.26739,0.4842,0.79543,1.37283,1.89015,1.8687,1.8818,2.0136,"fishery"
"40",40,0.01114,0.07802,0.26158,0.52179,0.73373,1.07031,1.65841,2.01361,2.10331,2.06724,"fishery"
"41",41,0.00994,0.07886,0.2395,0.67281,1.09329,1.28659,1.82816,2.09014,2.2906,2.22695,"fishery"
"42",42,0.01171,0.07915,0.25555,0.66279,1.01089,1.31094,1.65651,1.82228,2.11046,2.08291,"fishery"
"43",43,0.01347,0.07943,0.2716,0.65278,0.9285,1.33528,1.48486,1.55443,1.93031,1.93887,"fishery"
"44",44,0.00927,0.12657,0.34716,0.62555,1.15683,1.37139,1.5996,1.77184,1.84923,2.26227,"fishery"
"45",45,0.01214,0.05792,0.30378,0.59375,0.71183,1.29353,1.33647,1.53122,1.57165,1.6664,"fishery"
"46",46,0.01289,0.09413,0.19981,0.54221,0.87965,1.0551,1.43009,1.49771,1.59404,1.65366,"fishery"
"47",47,0.01289,0.13332,0.30349,0.38983,0.55694,0.75106,0.86029,1.11979,1.11536,1.17802,"fishery"
"48",48,0.01104,0.13332,0.34508,0.4511,0.50486,0.57787,0.91158,0.95088,1.3827,1.33922,"fishery"
"49",49,0.00811,0.08866,0.18112,0.51577,0.53896,0.60892,0.67903,0.89242,1.3827,1.33922,"fishery"
"50",50,0.00841,0.0611,0.2207,0.49262,0.6369,0.70092,0.7364,0.78885,0.87858,1.04387,"fishery"
"51",51,0.01498,0.07238,0.17177,0.31058,0.47967,0.71084,0.80775,0.80605,0.80023,0.84793,"fishery"
"52",52,0.00897,0.19056,0.32101,0.4937,0.68221,0.85568,0.87562,1.01889,1.05436,1.05915,"fishery"
