"","year","1","2","3","4","5","6","7","8","9","10","11","source"
"1",1,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"2",2,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"3",3,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"4",4,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"5",5,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"6",6,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"7",7,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"8",8,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"9",9,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"10",10,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"11",11,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"12",12,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"13",13,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"14",14,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"15",15,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"16",16,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"17",17,0,0.035,0.025,0.055,0.025,0.033,0.027,0.017,0.031,0.056,0,"fishery"
"18",18,0.109,0.016,0.027,0.04,0.043,0.028,0.019,0.026,0.019,0.058,0.109,"fishery"
"19",19,0,0.024,0.02,0.023,0.03,0.046,0.052,0.058,0.052,0.027,0,"fishery"
"20",20,0,0.048,0.02,0.015,0.016,0.026,0.029,0.039,0.068,0.027,0,"fishery"
"21",21,0,0.018,0.013,0.025,0.011,0.009,0.015,0.024,0.036,0.018,0,"fishery"
"22",22,0.3,0.023,0.011,0.047,0.024,0.034,0.02,0.045,0.034,0.026,0.3,"fishery"
"23",23,0,0.039,0.026,0.017,0.016,0.035,0.028,0.022,0.032,0.01,0,"fishery"
"24",24,0,0.037,0.021,0.032,0.019,0.024,0.033,0.022,0.025,0.024,0,"fishery"
"25",25,0.065,0.038,0.014,0.027,0.009,0.022,0.033,0.033,0.022,0.016,0.065,"fishery"
"26",26,0.042,0.022,0.031,0.031,0.029,0.019,0.028,0.039,0.045,0.027,0.042,"fishery"
"27",27,0.042,0.029,0.026,0.053,0.024,0.016,0.011,0.016,0.028,0.041,0.042,"fishery"
"28",28,0.073,0.02,0.021,0.039,0.052,0.016,0.016,0.009,0.013,0.021,0.073,"fishery"
"29",29,0.046,0.024,0.023,0.015,0.039,0.054,0.028,0.02,0.013,0.017,0.046,"fishery"
"30",30,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"31",31,0.048,0.033,0.019,0.049,0.024,0.019,0.047,0.074,0.05,0.032,0.048,"fishery"
"32",32,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"33",33,0.3,0.08,0.044,0.04,0.029,0.021,0.024,0.02,0.041,0.035,0.3,"fishery"
"34",34,0.048,0.195,0.056,0.062,0.179,0.086,0.069,0.194,0.1,0.138,0.048,"fishery"
"35",35,0,0.029,0.043,0.021,0.017,0.046,0.113,0.061,0.056,0.103,0,"fishery"
"36",36,0.063,0.034,0.049,0.04,0.014,0.02,0.043,0.108,0.147,0.115,0.063,"fishery"
"37",37,0.054,0.058,0.026,0.056,0.079,0.027,0.02,0.032,0.068,0.164,0.054,"fishery"
"38",38,0.068,0.111,0.027,0.042,0.038,0.027,0.021,0.032,0.11,0.11,0.068,"fishery"
"39",39,0.063,0.036,0.031,0.027,0.058,0.128,0.059,0.027,0.037,0.069,0.063,"fishery"
"40",40,0.058,0.038,0.047,0.024,0.035,0.061,0.105,0.111,0.052,0.044,0.058,"fishery"
"41",41,0.118,0.043,0.021,0.038,0.029,0.04,0.056,0.064,0.041,0.02,0.118,"fishery"
"42",42,0,0,0,0,0,0,0,0,0,0,0,"fishery"
"43",43,0.079,0.043,0.044,0.018,0.018,0.032,0.034,0.106,0.056,0.038,0.079,"fishery"
"44",44,0.062,0.045,0.014,0.067,0.027,0.017,0.02,0.026,0.048,0.017,0.062,"fishery"
"45",45,0.046,0.058,0.062,0.012,0.03,0.034,0.02,0.027,0.036,0.05,0.046,"fishery"
"46",46,0.052,0.064,0.024,0.044,0.02,0.032,0.029,0.025,0.04,0.03,0.052,"fishery"
"47",47,0,0.05,0.045,0.01,0.045,0.036,0.05,0.055,0.06,0.06,0,"fishery"
"48",48,0.039,0,0.328,0.033,0.008,0.059,0.068,0.11,0.3,0.082,0.039,"fishery"
"49",49,0.032,0.054,0.053,0.107,0.031,0.008,0.04,0.084,0,0,0.032,"fishery"
"50",50,0.03,0.027,0.073,0.154,0.057,0.022,0.01,0.059,0.115,0.161,0.03,"fishery"
"51",51,0.093,0.041,0.032,0.096,0.142,0.057,0.034,0.021,0.027,0.044,0.093,"fishery"
"52",52,0.026,0.044,0.028,0.027,0.061,0.112,0.071,0.048,0.031,0.045,0.026,"fishery"
