"","yrs","ages","vals","model","var_param","species","sd"
"1",1,1,0.131614815661015,"2D_AR1","Conditional","atkamack",0.00571269110597975
"2",2,1,0.0723745342647443,"2D_AR1","Conditional","atkamack",0.0097596073495586
"3",3,1,0.486197142137561,"2D_AR1","Conditional","atkamack",0.0132004892552367
"4",4,1,0.364504162882026,"2D_AR1","Conditional","atkamack",0.0172116519377726
"5",5,1,0.36425289030257,"2D_AR1","Conditional","atkamack",0.0201456885441021
"6",6,1,0.363576012478213,"2D_AR1","Conditional","atkamack",0.0217092200321897
"7",7,1,0.364104059279443,"2D_AR1","Conditional","atkamack",0.0163196774466312
"8",8,1,0.296949838583068,"2D_AR1","Conditional","atkamack",0.0328317090674526
"9",9,1,0.30135937314841,"2D_AR1","Conditional","atkamack",0.0403078326344667
"10",10,1,0.146292550608281,"2D_AR1","Conditional","atkamack",0.0445986399627924
"11",11,1,0.265038311116705,"2D_AR1","Conditional","atkamack",0.00314120490886051
"12",12,1,0.196132007780713,"2D_AR1","Conditional","atkamack",0.00975977057827677
"13",13,1,0.295249938452153,"2D_AR1","Conditional","atkamack",0.0129325257798626
"14",14,1,0.361539923552854,"2D_AR1","Conditional","atkamack",0.0149962894285437
"15",15,1,0.229467368603131,"2D_AR1","Conditional","atkamack",0.0166794621740542
"16",16,1,0.229896398024121,"2D_AR1","Conditional","atkamack",0.0170601381360355
"17",17,1,0.229983028127081,"2D_AR1","Conditional","atkamack",0.0159560473663562
"18",18,1,0.150046720635412,"2D_AR1","Conditional","atkamack",0.0181983157496019
"19",19,1,0.0923693873442599,"2D_AR1","Conditional","atkamack",0.0401702453914768
"20",20,1,0.188042524376182,"2D_AR1","Conditional","atkamack",0.0443991300663398
"21",21,1,0.22990917720552,"2D_AR1","Conditional","atkamack",0.0213880940073922
"22",22,1,0.22963723370879,"2D_AR1","Conditional","atkamack",0.0137832504974395
"23",23,1,0.239566380017023,"2D_AR1","Conditional","atkamack",0.0195837788276459
"24",24,1,0.215627553479585,"2D_AR1","Conditional","atkamack",0.0203664171512552
"25",25,1,0.223732804171621,"2D_AR1","Conditional","atkamack",0.020329114117744
"26",26,1,0.252626701900011,"2D_AR1","Conditional","atkamack",0.0200334761656891
"27",27,1,0.207639077409335,"2D_AR1","Conditional","atkamack",0.0232979060529741
"28",28,1,0.175940715445823,"2D_AR1","Conditional","atkamack",0.0326707766134207
"29",29,1,0.24705682785434,"2D_AR1","Conditional","atkamack",0.0401135456255349
"30",30,1,0.26515176158809,"2D_AR1","Conditional","atkamack",0.0443996629308698
"31",31,1,0.247096571544218,"2D_AR1","Conditional","atkamack",0.01576726826065
"32",32,1,0.264296187315246,"2D_AR1","Conditional","atkamack",0.0136912162848723
"33",33,1,0.214657484008324,"2D_AR1","Conditional","atkamack",0.0192848593110057
"34",34,1,0.204206496965897,"2D_AR1","Conditional","atkamack",0.0221913958083968
"35",35,1,0.220058570395344,"2D_AR1","Conditional","atkamack",0.0248597372266513
"36",36,1,0.229976402889781,"2D_AR1","Conditional","atkamack",0.0266779659579056
"37",37,1,0.265505659692646,"2D_AR1","Conditional","atkamack",0.0233009755723666
"38",38,1,0.316389003041268,"2D_AR1","Conditional","atkamack",0.0326504422610973
"39",39,1,0.178252459720946,"2D_AR1","Conditional","atkamack",0.0400882013045752
"40",40,1,0.248985861931539,"2D_AR1","Conditional","atkamack",0.0443973617480638
"41",41,1,0.256902590490634,"2D_AR1","Conditional","atkamack",0.015764715350364
"42",42,1,0.292349653769863,"2D_AR1","Conditional","atkamack",0.0136914121413785
"43",43,1,0.423966311189085,"2D_AR1","Conditional","atkamack",0.0192847019116134
"44",1,2,0.225516199703996,"2D_AR1","Conditional","atkamack",0.0221919877791535
"45",2,2,0.224686356157526,"2D_AR1","Conditional","atkamack",0.0248617643818239
"46",3,2,0.321010177414391,"2D_AR1","Conditional","atkamack",0.0266824453050424
"47",4,2,0.317558905500742,"2D_AR1","Conditional","atkamack",0.0233064721920673
"48",5,2,0.317544660999441,"2D_AR1","Conditional","atkamack",0.0326506303110765
"49",6,2,0.274203094418612,"2D_AR1","Conditional","atkamack",0.0400872821142218
"50",7,2,0.359474903904875,"2D_AR1","Conditional","atkamack",0.0443976028881819
"51",8,2,0.410440173542856,"2D_AR1","Conditional","atkamack",0.0157645261876107
"52",9,2,0.451728906717333,"2D_AR1","Conditional","atkamack",0.0118210295871025
"53",10,2,0.333743796645412,"2D_AR1","Conditional","atkamack",0.018985813760537
"54",11,2,0.436382744318872,"2D_AR1","Conditional","atkamack",0.0240021070450374
"55",12,2,0.350107766850676,"2D_AR1","Conditional","atkamack",0.0292915660526837
"56",13,2,0.440225835974305,"2D_AR1","Conditional","atkamack",0.0332167155671309
"57",14,2,0.508569023309399,"2D_AR1","Conditional","atkamack",0.0233121226473368
"58",15,2,0.207964897690469,"2D_AR1","Conditional","atkamack",0.0326505315484149
"59",16,2,0.389612065970215,"2D_AR1","Conditional","atkamack",0.0400871169804213
"60",17,2,0.564793588233409,"2D_AR1","Conditional","atkamack",0.0443977327453882
"61",18,2,0.362621959606307,"2D_AR1","Conditional","atkamack",0.0157615286761042
"62",19,2,0.228596746264797,"2D_AR1","Conditional","atkamack",0.0154688403699908
"63",20,2,0.293843719726755,"2D_AR1","Conditional","atkamack",0.0213207988491047
"64",21,2,0.396598880136687,"2D_AR1","Conditional","atkamack",0.0255224594545729
"65",22,2,0.296844325623355,"2D_AR1","Conditional","atkamack",0.0289239621941614
"66",23,2,0.405937655025685,"2D_AR1","Conditional","atkamack",0.0338297545937464
"67",24,2,0.493215390414513,"2D_AR1","Conditional","atkamack",0.0233142576761568
"68",25,2,0.417609570924485,"2D_AR1","Conditional","atkamack",0.0326550773272806
"69",26,2,0.293701675640631,"2D_AR1","Conditional","atkamack",0.0400879493709016
"70",27,2,0.303658240527134,"2D_AR1","Conditional","atkamack",0.0443973472670955
"71",28,2,0.31553955027967,"2D_AR1","Conditional","atkamack",0.0128451310445744
"72",29,2,0.405766542481721,"2D_AR1","Conditional","atkamack",0.0176186562423881
"73",30,2,0.39374144201947,"2D_AR1","Conditional","atkamack",0.0261734843002314
